Epoch: [79 | 120] | Train Time: 85.00 s | BP Average: 7.41 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [80 | 120] | Train Time: 85.00 s | BP Average: 7.42 | Natural Test Acc 0.87 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [81 | 120] | Train Time: 85.00 s | BP Average: 7.42 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [82 | 120] | Train Time: 85.00 s | BP Average: 7.43 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [83 | 120] | Train Time: 85.00 s | BP Average: 7.44 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [84 | 120] | Train Time: 85.00 s | BP Average: 7.44 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [85 | 120] | Train Time: 86.00 s | BP Average: 7.44 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [86 | 120] | Train Time: 85.00 s | BP Average: 7.44 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [87 | 120] | Train Time: 85.00 s | BP Average: 7.45 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [88 | 120] | Train Time: 86.00 s | BP Average: 7.46 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

